YEAR,ISO3,v2paid,v2paenname,v2pashname,VPARTY
1991.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.386
1991.0,ARG,1724.0,Radical Civic Union,UCR,0.334
1991.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
1992.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.328
1992.0,ARG,1724.0,Radical Civic Union,UCR,0.33899999999999997
1992.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
1993.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.27
1993.0,ARG,1724.0,Radical Civic Union,UCR,0.344
1993.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
1994.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.2695
1994.0,ARG,1724.0,Radical Civic Union,UCR,0.3295
1994.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
1995.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.269
1995.0,ARG,1724.0,Radical Civic Union,UCR,0.315
1995.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
1995.0,ARG,5553.0,Front for a Country in Solidarity,FREPASO,0.611
1996.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.269
1996.0,ARG,1724.0,Radical Civic Union,UCR,0.34299999999999997
1996.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
1996.0,ARG,5553.0,Front for a Country in Solidarity,FREPASO,0.6045
1997.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.269
1997.0,ARG,1724.0,Radical Civic Union,UCR,0.371
1997.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
1997.0,ARG,5553.0,Front for a Country in Solidarity,FREPASO,0.598
1998.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.3025
1998.0,ARG,1724.0,Radical Civic Union,UCR,0.35050000000000003
1998.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
1998.0,ARG,5553.0,Front for a Country in Solidarity,FREPASO,0.562
1999.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.336
1999.0,ARG,1724.0,Radical Civic Union,UCR,0.33
1999.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
1999.0,ARG,5553.0,Front for a Country in Solidarity,FREPASO,0.526
1999.0,ARG,6112.0,Action for the Republic,AR,0.136
2000.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.4195
2000.0,ARG,1724.0,Radical Civic Union,UCR,0.309
2000.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
2000.0,ARG,5553.0,Front for a Country in Solidarity,FREPASO,0.53
2000.0,ARG,6112.0,Action for the Republic,AR,0.136
2001.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.503
2001.0,ARG,1215.0,Support for an Egalitarian Republic,ARI,0.537
2001.0,ARG,1724.0,Radical Civic Union,UCR,0.288
2001.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
2001.0,ARG,5553.0,Front for a Country in Solidarity,FREPASO,0.534
2001.0,ARG,6112.0,Action for the Republic,AR,0.136
2002.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.5805
2002.0,ARG,1215.0,Support for an Egalitarian Republic,ARI,0.5375000000000001
2002.0,ARG,1724.0,Radical Civic Union,UCR,0.313
2002.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
2002.0,ARG,5553.0,Front for a Country in Solidarity,FREPASO,0.534
2002.0,ARG,6112.0,Action for the Republic,AR,0.136
2003.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.658
2003.0,ARG,1215.0,Support for an Egalitarian Republic,ARI,0.538
2003.0,ARG,1724.0,Radical Civic Union,UCR,0.338
2003.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
2003.0,ARG,5553.0,Front for a Country in Solidarity,FREPASO,0.534
2003.0,ARG,6112.0,Action for the Republic,AR,0.136
2004.0,ARG,623.0,Justicialist [Peronist] Party,PJ,0.658
2004.0,ARG,1215.0,Support for an Egalitarian Republic,ARI,0.5335000000000001
2004.0,ARG,1724.0,Radical Civic Union,UCR,0.347
2004.0,ARG,4182.0,Union of the Democratic Centre,UCD,0.045
2004.0,ARG,5553.0,Front for a Country in Solidarity,FREPASO,0.534
2004.0,ARG,6112.0,Action for the Republic,AR,0.136
