ISO2,ISO3,YEAR,COUNTRY,REGION,LDC,LLDC,SIDS,POP_R,PARTY_CODE,PARTY_NAME,VDEM_1,VDEM_2,VDEM_3,VDEM_4,VDEM_5,VDEM_6,HERITAGE_1,HERITAGE_2,HERITAGE_3,HERITAGE_4,HERITAGE_5,HERITAGE_6,EFW_1,EFW_2,EFW_3,EFW_4,EFW_5,EFW_6,EP_1,EP_2,EP_3,EP_4,EP,IP_1,IP_2,IP_3,IP_4,IP_5,IP_6,IP,PEP,PIP,POP,POP_RANK,POP_PERCENTILE,PEP_RANK,PEP_PERCENTILE,PIP_RANK,PIP_PERCENTILE,POP_R_RANK,POP_R_PERCENTILE
NA,AIA,2000,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2001,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2002,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2003,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2004,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2005,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2006,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2007,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2008,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2009,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2010,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2011,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2012,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2013,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2014,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2015,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2016,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2017,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2018,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2019,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,AIA,2020,Anguila,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2000,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2001,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2002,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2003,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2004,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2005,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2006,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2007,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2008,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2009,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2010,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2011,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2012,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2013,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2014,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2015,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2016,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2017,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2018,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2019,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,ATG,2020,Antigua and Barbuda,Caribbean,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,ARG,2000,Argentina,South America,0,0,0,0.309,UCR,Radical Civic Union,33.3,27.60000000000001,27.3,20.9,29.6,12.949999999999989,30.0,15.0,10.400000000000006,38.0,30.0,70.0,22.623479295390865,16.92500000000001,0.0,24.653252978906977,46.30610796361375,44.01641567775263,35.107507880455465,19.77423964769544,13.466666666666669,31.32662648945349,24.918760171067763,29.400000000000002,45.45,27.3,20.9,29.6,30.0,30.441666666666666,7.699896892859939,9.406475,8.55318594642997,12.0,0.45,14.0,0.35,12.0,0.47619047619047616,12.0,0.5
AR,ARG,2001,Argentina,South America,0,0,0,0.288,UCR,Radical Civic Union,32.8,27.90000000000001,22.599999999999994,20.9,29.1,14.649999999999991,50.0,15.0,4.599999999999994,35.0,30.0,70.0,23.960981736778663,18.200000000000003,0.0,31.83554598882056,45.92242111247559,64.34352521672103,41.75531544306554,21.080490868389333,11.533333333333331,33.41777299441028,26.94672815979962,27.766666666666666,45.45,22.599999999999994,20.9,29.1,50.0,32.63611111111111,7.76065771002229,9.3992,8.579928855011145,13.0,0.4,14.0,0.35,11.0,0.5238095238095238,14.0,0.4090909090909091
AR,ARG,2002,Argentina,South America,0,0,0,0.5805,PJ,Justicialist [Peronist] Party,35.0,29.3,23.0,28.8,30.4,14.649999999999991,50.0,30.0,5.700000000000003,47.0,30.0,65.0,26.999787283611724,18.200000000000003,0.0,32.89377161587187,42.27701272551852,59.31147401108597,43.8628289122015,22.599893641805863,11.9,39.946885807935935,29.577402090485826,29.099999999999998,46.9,23.0,28.8,30.4,50.0,34.699999999999996,17.169681913527022,20.143349999999998,18.65651595676351,6.0,0.7619047619047619,3.0,0.9047619047619048,8.0,0.6818181818181818,5.0,0.8260869565217391
AR,ARG,2003,Argentina,South America,0,0,0,0.791,FPV-PJ,Front for Victory,36.1,28.0,23.0,48.4,33.1,46.675,70.0,30.0,11.5,46.0,70.0,65.0,22.55203200185518,18.200000000000003,50.0,32.188968479745924,43.70558415408994,58.61147401108597,44.105686055058634,20.376016000927592,43.833333333333336,39.09448423987296,36.852379907298136,29.03333333333333,56.7,23.0,48.4,33.1,70.0,43.37222222222223,29.150232506672825,34.30742777777778,31.728830142225306,4.0,0.8571428571428571,2.0,0.9523809523809523,4.0,0.8636363636363636,3.5,0.8913043478260869
AR,ARG,2004,Argentina,South America,0,0,0,0.791,FPV-PJ,Front for Victory,35.5,28.0,23.0,48.4,32.9,23.02499999999999,70.0,30.0,36.0,38.4,70.0,72.0,21.141494745036965,22.573564269417616,50.0,33.617909888960554,43.30303138040315,55.82834014583774,43.04379050874697,21.85752950722729,52.0,36.00895494448028,38.22756874011364,28.833333333333332,60.2,23.0,48.4,32.9,70.0,43.88888888888889,30.23800687342989,34.71611111111112,32.4770589922705,4.0,0.85,3.0,0.9,4.0,0.8571428571428571,4.0,0.8636363636363636
AR,ARG,2005,Argentina,South America,0,0,0,0.791,FPV-PJ,Front for Victory,35.900000000000006,30.10000000000001,23.700000000000003,48.4,34.9,23.02499999999999,70.0,30.0,34.599999999999994,43.8,70.0,75.0,20.66132634037409,18.200000000000003,50.0,36.49651528366414,41.81669878269156,53.867553715695074,41.894750832795545,19.430663170187046,51.53333333333333,40.14825764183207,38.251751244537,29.900000000000006,61.7,23.700000000000003,48.4,34.9,70.0,44.76666666666667,30.257135234428766,35.41043333333334,32.83378428388105,2.0,0.9444444444444444,2.0,0.9473684210526315,2.0,0.9473684210526315,4.0,0.8571428571428571
AR,ARG,2006,Argentina,South America,0,0,0,0.797,FPV-PJ,Front for Victory,35.900000000000006,30.10000000000001,23.700000000000003,48.4,35.0,23.02499999999999,70.0,37.1,28.5,32.599999999999994,70.0,75.0,21.13591480638952,19.97500000000001,50.0,34.31832400854893,46.073545051869445,65.78426551066772,49.65260352084572,20.555457403194765,49.5,33.45916200427446,38.29180573207874,29.900000000000006,61.7,23.700000000000003,48.4,35.0,70.0,44.78333333333334,30.518569168466758,35.69231666666667,33.10544291756671,4.0,0.85,2.0,0.95,4.0,0.8571428571428571,4.0,0.8636363636363636
AR,ARG,2007,Argentina,South America,0,0,0,0.803,FPV-PJ,Front for Victory,36.9,30.700000000000003,25.599999999999994,48.4,35.4,23.02499999999999,70.0,36.1,28.599999999999994,38.6,60.0,72.0,26.79047226439566,19.97500000000001,50.0,33.70096715375257,44.41768142619768,62.865285697815565,47.79432237467108,23.382736132197834,46.199999999999996,36.15048357687628,38.381885520936294,31.066666666666663,60.2,25.599999999999994,48.4,35.4,70.0,45.11111111111111,30.820654073311847,36.224222222222224,33.52243814776703,6.0,0.7619047619047619,3.0,0.9047619047619048,6.0,0.7727272727272727,5.0,0.8260869565217391
