ISO2,ISO3,COUNTRY,REGION,LDC,LLDC,SIDS,YEAR,POP,POP_RANK,POP_PERCENTILE,PIP,PIP_RANK,PIP_PERCENTILE,IP,IP_1,IP_2,IP_3,IP_4,IP_5,IP_6,PEP,PEP_RANK,PEP_PERCENTILE,EP,EP_1,EP_2,EP_3,EP_4,POP_R,POP_R_RANK,POP_R_PERCENTILE,PARTY_CODE,PARTY_NAME
AR,ARG,Argentina,South America,0,0,0,2000,8.55318594642997,12.0,0.45,9.406475,12.0,0.4761904761904761,30.441666666666663,29.4,45.45,27.3,20.9,29.6,30.0,7.699896892859939,14.0,0.35,24.918760171067763,35.107507880455465,19.77423964769544,13.466666666666669,31.32662648945349,0.309,12.0,0.5,UCR,Radical Civic Union
BB,BRB,Barbados,Caribbean,0,0,1,2000,7.8642884672993,15.0,0.3,5.850908333333333,17.0,0.238095238095238,19.058333333333334,13.799999999999995,21.35,23.700000000000003,12.7,12.8,30.0,9.877668601265269,9.0,0.6,32.174816290766344,27.31191099198118,15.5625,47.333333333333336,38.49152083775087,0.307,13.0,0.4545454545454545,BLP,Barbados Labour Party
BO,BOL,Bolivia,South America,0,1,0,2000,1.8891401649962591,20.0,0.05,2.4053555555555555,19.0,0.1428571428571428,51.17777777777778,43.866666666666674,67.6,31.10000000000001,63.2,51.3,50.0,1.3729247744369626,20.0,0.05,29.211165413552397,56.28388915871045,20.389128171174207,15.733333333333334,24.438310990991585,0.047,22.0,0.0454545454545454,ADN,Nationalist Democratic Action
BR,BRA,Brazil,South America,0,0,0,2000,8.527777751564626,13.0,0.4,7.558125000000001,15.0,0.3333333333333333,34.75000000000001,18.100000000000005,53.0,16.60000000000001,46.0,24.8,50.0,9.497430503129252,10.0,0.55,43.66634714082414,43.9027866278827,33.25452733830481,56.5,41.00807459710907,0.2175,17.0,0.2727272727272727,PSDB,Brazilian Social Democracy Party
CL,CHL,Chile,South America,0,0,0,2000,5.12785325102266,17.0,0.2,2.3705111111111115,20.0,0.0952380952380952,7.622222222222224,4.933333333333337,17.5,5.700000000000003,3.0,4.6,10.0,7.885195390934208,11.0,0.5,25.35432601586562,26.81457313049546,26.53246450331298,23.3,24.770266429654043,0.311,11.0,0.5454545454545454,PPD,Party for Democracy
CO,COL,Colombia,South America,0,0,0,2000,11.16942645813088,8.0,0.65,11.064236111111112,11.0,0.5238095238095238,35.40555555555556,21.33333333333333,58.3,16.400000000000006,38.6,27.800000000000004,50.0,11.274616805150648,8.0,0.65,36.07877377648207,41.72931915390646,14.303954520139072,54.13333333333333,34.148488098549386,0.3125,10.0,0.5909090909090909,PCC,Colombian Conservative Party
CR,CRI,Costa Rica,Central America,0,0,0,2000,10.654345706151757,10.0,0.55,8.917472222222225,13.0,0.4285714285714285,17.763888888888893,4.533333333333341,28.05,5.1000000000000085,12.1,6.800000000000001,50.0,12.391219190081284,6.0,0.75,24.68370356589897,32.14996191806791,20.829972752043595,25.83333333333333,19.921546260151047,0.502,7.0,0.7272727272727273,PUSC,Social Christian Unity Party
NA,CUB,Cuba,Caribbean,0,0,1,2000,,,,,,,,89.23333333333335,,92.1,60.5,84.89999999999999,,,,,,,,,,0.7988000000000001,3.0,0.9090909090909092,PCC,Communist Party of Cuba
DO,DOM,Dominican Republic,Caribbean,0,0,1,2000,10.410578497559268,11.0,0.5,13.902077777777778,9.0,0.6190476190476191,73.94722222222222,67.93333333333334,73.35,82.0,76.7,73.7,70.0,6.919079217340755,16.0,0.25,36.80361285819551,41.35402201533248,10.268645618612751,56.7,38.89178379883681,0.188,19.0,0.1818181818181818,PLD,Dominican Liberation Party
EC,ECU,Ecuador,South America,0,0,0,2000,,,,,,,52.46111111111111,52.56666666666666,66.0,31.5,55.00000000000001,59.7,50.0,,,,33.76772569249664,54.41832791162749,18.033446866485026,30.566666666666663,32.05246132520738,,,,,
SV,SLV,El Salvador,Central America,0,0,0,2000,3.0432700705096325,19.0,0.1,4.6182583333333325,18.0,0.1904761904761904,55.64166666666666,54.1,66.65,55.4,69.3,58.4,30.0,1.4682818076859323,19.0,0.1,17.690142261276293,31.91224319807799,4.825000000000003,15.699999999999998,18.323325847027192,0.083,21.0,0.0909090909090909,ARENA,Nationalist Republican Alliance
GT,GTM,Guatemala,Central America,0,0,0,2000,24.914304532208813,3.0,0.9,32.346516666666666,4.0,0.8571428571428571,53.93333333333334,44.900000000000006,72.2,25.90000000000001,75.4,55.2,50.0,17.48209239775096,3.0,0.9,29.14896606544553,49.6488751676421,6.10779972752043,35.93333333333333,24.905856033286284,0.59975,4.0,0.8636363636363636,FRG,Guatemalan Republican Front
GY,GUY,Guyana,South America,0,0,1,2000,,,,14.421226388888885,7.0,0.7142857142857143,60.213888888888896,48.333333333333336,70.35,67.9,70.7,54.0,50.0,,,,,38.85287433940687,,39.53333333333333,39.11858435091473,0.2394999999999999,16.0,0.3181818181818182,PPP,People's Progressive Party
HT,HTI,Haiti,Haiti,1,0,1,2000,46.50012506203424,2.0,0.95,64.11514999999999,2.0,0.9523809523809524,67.77499999999999,56.79999999999999,80.65,36.0,71.3,71.89999999999999,90.0,28.885100124068504,2.0,0.95,30.533932477873684,40.037470078958776,11.328031335149872,36.2,34.570228497386104,0.946,2.0,0.9545454545454546,FL,Lavalas Family
